Title,Ranking,Genre,Actors,Runtime
"[u'Breaking Bad', u'9.5', u'Crime, Drama, Thriller', u'Bryan Cranston, Aaron Paul, Anna Gunn', u'47']"
"[u'Game of Thrones', u'9.5', u'Adventure, Drama, Fantasy', u'Emilia Clarke, Peter Dinklage, Kit Harington', u'56']"
"[u'The Wire', u'9.4', u'Crime, Drama, Thriller', u'Dominic West, Lance Reddick, Sonja Sohn', u'59']"
"[u'One-Punch Man', u'9.4', u'Animation, Action, Comedy, Sci-Fi', u'Makoto Furukawa, Kaito Ishikawa, Yoji Ueda', u'22']"
"[u'Rick and Morty', u'9.3', u'Animation, Adventure, Comedy, Sci-Fi', u'Justin Roiland, Chris Parnell, Spencer Grammer', u'22']"
"[u'Sherlock', u'9.3', u'Crime, Drama, Mystery', u'Benedict Cumberbatch, Martin Freeman, Una Stubbs', u'88']"
"[u'The Sopranos', u'9.2', u'Crime, Drama', u'James Gandolfini, Lorraine Bracco, Edie Falco', u'55']"
"[u'Avatar: The Last Airbender', u'9.2', u'Animation, Action, Adventure, Family, Fantasy, Mystery', u'Zach Tyler, Dee Bradley Baker, Mae Whitman', u'23']"
"[u'Last Week Tonight with John Oliver', u'9.2', u'Comedy, News, Talk-Show', u'John Oliver, David Kaye, Noel MacNeal', u'30']"
"[u'Leyla ile Mecnun', u'9.2', u'Adventure, Comedy, Drama, Fantasy, Mystery, Romance', u'Ali Atay, Cengiz Bozkurt, Serkan Keskin', u'80']"
"[u'True Detective', u'9.1', u'Crime, Drama, Mystery, Thriller', u'Vince Vaughn, Colin Farrell, Rachel McAdams', u'55']"
"[u'Firefly', u'9.1', u'Adventure, Drama, Sci-Fi', u'Nathan Fillion, Gina Torres, Alan Tudyk', u'44']"
"[u'Hagane no renkinjutsushi', u'9.1', u'Animation, Action, Adventure, Comedy, Drama, Sci-Fi', u'Kent Williams, Iemasa Kayumi, Vic Mignogna', u'24']"
"[u'Fargo', u'9.1', u'Crime, Drama, Thriller', u'Billy Bob Thornton, Martin Freeman, Allison Tolman', u'53']"
"[u'Death Note: Desu n&#xF4;to', u'9.0', u'Animation, Crime, Drama, Fantasy, Horror, Mystery, Thriller', u'Mamoru Miyano, Brad Swaile, Vincent Tong', u'24']"
"[u'House of Cards', u'9.0', u'Drama', u'Kevin Spacey, Michel Gill, Robin Wright', u'51']"
"[u'Arrested Development', u'9.0', u'Comedy', u'Jason Bateman, Michael Cera, Portia de Rossi', u'22']"
"[u'The Twilight Zone', u'9.0', u'Drama, Fantasy, Horror, Mystery, Sci-Fi, Thriller', u'Rod Serling, Robert McCord, Jay Overholts', u'51']"
"[u'Narcos', u'9.0', u'Biography, Crime, Drama', u'Wagner Moura, Boyd Holbrook, Pedro Pascal', u'49']"
"[u'Batman: The Animated Series', u'9.0', u'Animation, Action, Adventure, Crime, Drama, Fantasy, Mystery, Romance, Sci-Fi, Thriller', u'Kevin Conroy, Loren Lester, Efrem Zimbalist Jr.', u'23']"
"[u'Kaub&#xF4;i bibappu: Cowboy Bebop', u'9.0', u'Animation, Action, Adventure, Drama, Sci-Fi, Thriller', u'Kunihiro Mori, Ikur\xf4 Sat\xf4, K\xf4ichi Yamadera, Unsh\xf4 Ishizuka, Megumi Hayashibara', u'24']"
"[u'Hunter x Hunter', u'9.0', u'Animation, Action, Adventure, Comedy, Fantasy', u'Mariya Ise, Megumi Han, Daisuke Namikawa', u'24']"
"[u'Friends', u'9.0', u'Comedy, Romance', u'Jennifer Aniston, Courteney Cox, Lisa Kudrow', u'22']"
"[u'Monty Python&#x27;s Flying Circus', u'8.9', u'Comedy, Music', u'Graham Chapman, John Cleese, Terry Gilliam', u'30']"
"[u'Kardes Payi', u'8.9', u'Comedy, Drama, Family', u'Ahmet Kural, Murat Cemcir, Seda Bakan', u'70']"
"[u'K&#xF4;do giasu: Hangyaku no rur&#xFB;shu R2', u'8.9', u'Animation, Action, Drama, Mystery, Sci-Fi, Thriller', u'Adam Bobrow, Johnny Yong Bosch, Yuri Lowenthal', u'24']"
"[u'Twin Peaks', u'8.9', u'Drama, Mystery, Thriller', u'Kyle MacLachlan, Michael Ontkean, M\xe4dchen Amick', u'47']"
"[u'Seinfeld', u'8.9', u'Comedy', u'Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards', u'22']"
"[u'Pod prikritie', u'8.9', u'Action, Crime, Drama', u'Vladimir Penev, Zachary Baharov, Mihail Bilalov', u'60']"
"[u'Freaks and Geeks', u'8.9', u'Comedy, Drama', u'Linda Cardellini, John Francis Daley, James Franco', u'44']"
"[u'Only Fools and Horses....', u'8.9', u'Comedy', u'David Jason, Nicholas Lyndhurst, Roger Lloyd Pack', u'95']"
"[u'Rome', u'8.9', u'Action, Drama, History, Romance, War', u'Kevin McKidd, Ray Stevenson, Polly Walker', u'90']"
"[u'Top Gear', u'8.9', u'Comedy, Talk-Show', u'Richard Hammond, Jeremy Clarkson, James May', u'60']"
"[u'Mr. Robot', u'8.9', u'Crime, Drama', u'Rami Malek, Christian Slater, Portia Doubleday', u'49']"
"[u'Shingeki no kyojin', u'8.9', u'Animation, Action, Adventure, Drama, Fantasy, Horror', u'Marina Inoue, Yuki Kaji, Josh Grelle', u'24']"
"[u'Gravity Falls', u'8.9', u'Animation, Adventure, Comedy, Family, Mystery', u'Jason Ritter, Alex Hirsch, Kristen Schaal', u'23']"
"[u'Steins;Gate', u'8.9', u'Animation, Comedy, Drama, Romance, Sci-Fi, Thriller', u'Hiroshi Hamazaki, Takuya Sat\xf4, Mamoru Miyano, Asami Imai, Kana Hanazawa', u'24']"
"[u'The Simpsons', u'8.9', u'Animation, Comedy', u'Dan Castellaneta, Nancy Cartwright, Julie Kavner', u'22']"
"[u'Permanent Roommates', u'8.8', u'Comedy, Romance', u'Sameer Saxena, Nidhi Singh, Sumeet Vyas, Deepak Kumar Mishra', u'21']"
"[u'Blackadder Goes Forth', u'8.8', u'Comedy, War', u'Rowan Atkinson, Tony Robinson, Stephen Fry', u'175']"
"[u'House M.D.', u'8.8', u'Drama, Mystery', u'Hugh Laurie, Omar Epps, Robert Sean Leonard', u'44']"
"[u'Dexter', u'8.8', u'Crime, Drama, Mystery, Thriller', u'Michael C. Hall, Jennifer Carpenter, David Zayas', u'53']"
"[u'Ash vs Evil Dead', u'8.8', u'Action, Comedy, Fantasy, Horror', u'Bruce Campbell, Ray Santiago, Dana DeLorenzo', u'30']"
"[u'Dragon Ball Z', u'8.8', u'Animation, Action, Adventure, Fantasy, Sci-Fi, Thriller', u'Sean Schemmel, Christopher Sabat, Doc Harris', u'24']"
"[u'Fawlty Towers', u'8.8', u'Comedy', u'John Cleese, Prunella Scales, Andrew Sachs', u'30']"
"[u'Wan p&#xEE;su: One Piece', u'8.8', u'Animation, Action, Adventure, Comedy, Drama, Fantasy, Romance', u'Tony Beck, Laurent Vernin, Mayumi Tanaka', u'24']"
"[u'Oz', u'8.8', u'Crime, Drama, Thriller', u'Gregory Dark, Ernie Hudson, J.K. Simmons, Lee Tergesen', u'55']"
"[u'Better Call Saul', u'8.8', u'Crime, Drama', u'Bob Odenkirk, Jonathan Banks, Rhea Seehorn', u'47']"
"[u'Archer', u'8.8', u'Animation, Action, Comedy', u'H. Jon Benjamin, Judy Greer, Amber Nash', u'22']"
"[u'Daredevil', u'8.8', u'Action, Crime, Drama', u""Charlie Cox, Vincent D'Onofrio, Deborah Ann Woll"", u'54']"
